,Address,Beds_Min,Beds_Max,Baths_Min,Baths_Max,Sqft_Min,Sqft_Max,Lat,Lon,Distance,Rent,Rent_max,Neighborhood,City,Walk Score,Transit Score,Bike Score,Population
0,452 University Blvd,3,3,4.0,4.0,N/A,N/A,39.723548,-104.959133,0.5076647346120988,3600,3600,Cherry Creek,Cherry Creek,80.0,49.0,79.0,5583.0
1,2190 E 11th Ave,0,3,1.0,2.0,516,1331,39.73323,-104.96156,0.5903353572424738,1638,3076,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
2,1111 Clayton St,4,4,2.0,2.0,N/A,N/A,39.73404,-104.955463,0.7674396655760397,2695,2695,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
3,155 Steele St Apt 412,1,1,2.0,2.0,N/A,N/A,39.7325,-104.9529,0.7793198119479362,3950,3950,Capital Avenue,,,,,
4,1621 E 5th Ave,3,3,4.0,4.0,N/A,N/A,39.723949,-104.967628,0.8004170077146534,3650,3650,Denver Country Club,,,,,
5,2315 E 12th Ave,1,2,1.0,1.0,599,828,39.735298,-104.959447,0.8053695050170194,1300,1600,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
6,1510 E 9th Ave Apt 101,1,1,1.0,1.0,N/A,N/A,39.730265,-104.969109,0.8202329090202164,1265,1265,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
7,1510 E 9th Ave Apt 107,2,2,1.0,1.0,N/A,N/A,39.730265,-104.969109,0.8202329090202164,1680,1680,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
8,1510 E 9th Ave Apt 205,1,1,1.0,1.0,N/A,N/A,39.730265,-104.969109,0.8202329090202164,1270,1270,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
9,1200 Vine St Apt 3C,2,2,2.0,2.0,N/A,N/A,39.735378,-104.961899,0.8299035246034198,2000,2000,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
10,1153 Detroit St,4,4,4.0,4.0,2625,2625,39.734633,-104.954346,0.8737952213474028,3550,3550,Capital Avenue,,,,,
11,925-995 Humboldt St,1,2,1.0,1.0,488,755,39.73066,-104.96987,0.8957468665337652,1199,1619,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
12,250 Columbine St Unit 206L,1,1,2.0,2.0,N/A,N/A,39.720196,-104.956692,0.9190485836643397,3500,3500,Cherry Creek North,,,,,
13,1269 Columbine St # 6,1,1,1.0,1.0,500,500,39.736436,-104.957763,0.9494866875616035,1225,1225,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
14,1262 Columbine St,1,1,1.0,1.0,650,650,39.736365,-104.957119,0.9542477160529923,1100,1100,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
15,1330 Gaylord St,1,2,1.0,2.0,641,1047,39.737243,-104.960672,1.0223698918934923,1465,1855,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
16,1300 N Race St,0,1,1.0,1.0,700,800,39.736967,-104.96312,1.0261687453104338,1100,1250,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
17,1110 Saint Paul St,1,1,1.0,1.0,850,850,39.733918,-104.950307,1.0510355389926749,1275,1275,Capital Avenue,,,,,
18,1901 E 13th Ave,0,2,1.0,1.0,260,590,39.73695,-104.96435,1.0570262352763855,1100,1600,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
19,1350 Josephine St Apt 201,1,1,1.0,1.0,720,720,39.737757,-104.958269,1.0873241515709127,1325,1325,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
20,1350 Josephine St Apt 107,2,2,1.0,1.0,860,860,39.737757,-104.958269,1.0873241515709127,1590,1590,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
21,967 N Marion St,0,0,0.0,0.0,N/A,N/A,39.73161,-104.972123,1.1128744756506992,1300,1300,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
22,1085 N Lafayette St Apt 303,2,2,2.0,2.0,1050,1050,39.733413,-104.970974,1.1143467942257435,2250,2250,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
23,940-944 N Downing St # 940B,1,1,1.0,1.0,650,650,39.731203,-104.972646,1.1401779436365265,900,900,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
24,2480 E 14th Ave # 2468-1,2,2,1.0,1.0,1200,1200,39.738235,-104.957646,1.1480066342056026,1950,1950,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
25,1360 N Williams St,1,1,1.0,1.0,506,506,39.737833,-104.965646,1.1902256654967638,1271,1341,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
26,1044 N Downing St,1,2,1.0,2.0,715,995,39.7327,-104.97264,1.2011322544605336,1815,2785,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
27,1402 Race St,0,1,1.0,1.0,425,487,39.738642,-104.963127,1.2070163129970914,1246,1346,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
28,1405 Race St,1,1,1.0,1.0,640,640,39.73856,-104.96384,1.2133929109764867,1200,1200,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
29,821 N Corona St,0,2,1.0,2.0,450,915,39.72964,-104.97442,1.2496078767596859,1295,1995,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
30,1010 E 19th Ave,1,2,1.0,1.0,500,700,39.7344,-104.9726,1.290688562364996,1044,1254,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
31,1455 N Vine St Unit 303,1,1,1.0,1.0,N/A,N/A,39.739521,-104.962584,1.293596819387934,1220,1220,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
32,1455 N Vine St Unit 202,1,1,1.0,1.0,N/A,N/A,39.739521,-104.962584,1.293596819387934,1210,1210,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
